filename,melodic,harmonic,label
blues.0.0,0.48884457357542244,1.75,blues
blues.0.1,0.586610824526619,1.5999999999999999,blues
blues.0.2,0.4953258295031611,2.016666666666667,blues
blues.0.3,0.5689588068057105,1.5833333333333335,blues
blues.0.4,0.7916734939232539,2.0,blues
blues.0.5,0.7017228718952582,1.8666666666666667,blues
blues.0.6,0.5986572469005139,1.4833333333333334,blues
blues.0.7,0.7081244765287508,1.7166666666666668,blues
blues.0.8,0.6042642148935795,1.9666666666666663,blues
blues.0.9,0.6123695127765718,1.9166666666666667,blues
blues.1.0,0.6202105590988243,1.45,blues
blues.1.1,0.7350356439154447,1.4333333333333336,blues
blues.1.2,0.7363685978269812,0.7166666666666666,blues
blues.1.3,0.7329693629483388,1.5,blues
blues.1.4,0.8964509250384548,1.1833333333333333,blues
blues.1.5,0.5507387054010173,0.9833333333333332,blues
blues.1.6,0.7051154417867416,1.9000000000000001,blues
blues.1.7,0.7709079292660129,0.9666666666666666,blues
blues.1.8,0.7287430171453754,1.1833333333333333,blues
blues.1.9,0.8017894163319448,1.25,blues
blues.2.0,0.8173373688185331,1.5999999999999999,blues
blues.2.1,0.6634189343873482,1.6833333333333333,blues
blues.2.2,1.061045267647391,2.2,blues
blues.2.3,1.0594029174705237,2.2,blues
blues.2.4,0.756076596870193,1.8999999999999997,blues
blues.2.5,0.7370957354244974,1.65,blues
blues.2.6,0.7875801639735184,1.7833333333333332,blues
blues.2.7,0.8192508091873159,2.2666666666666666,blues
blues.2.8,0.7143560081254973,1.8333333333333335,blues
blues.2.9,0.9627065670428729,2.1166666666666667,blues
blues.4.0,0.7277945108094153,1.35,blues
blues.4.1,0.7583774256407125,1.2000000000000002,blues
blues.4.2,0.9673761164033531,1.0333333333333332,blues
blues.4.3,0.6451169986913698,0.8,blues
blues.4.4,0.7425602419777219,1.5,blues
blues.4.5,0.6904454977166556,1.1666666666666665,blues
blues.4.6,0.8990476366631268,1.4166666666666663,blues
blues.4.7,0.6759841598420606,0.5999999999999999,blues
blues.4.8,0.7891890401833519,1.55,blues
blues.4.9,0.751147119116893,0.4999999999999999,blues
